"1st Layer","2nd Layer","MSE"
20,8,2.49960987661866
20,9,2.33159222643598
20,10,2.04233661998305
20,11,1.92498305407972
20,12,1.55776288978027
20,13,2.00261672095296
20,14,1.51930226257574
20,15,1.67225802704765
21,8,1.4550871718273
21,9,2.70079983348714
21,10,1.46496507185779
21,11,1.63268940237964
21,12,1.68455287923345
21,13,1.34745715779427
21,14,1.62055464913195
21,15,1.51332026786169
22,8,1.64512812980097
22,9,1.58346137613784
22,10,1.57248663657223
22,11,1.46666362476095
22,12,1.75852310334039
22,13,2.21478361421509
22,14,1.34481837320197
22,15,2.10779264003475
23,8,1.66839699949369
23,9,1.7113589098128
23,10,1.62006182350587
23,11,1.23003657964541
23,12,1.80750444588674
23,13,1.54946868600927
23,14,1.52930712767962
23,15,1.12625508504398
24,8,1.77014641759174
24,9,1.39974488587227
24,10,1.78322118070293
24,11,2.87437304399963
24,12,2.08867718497868
24,13,1.38356467438708
24,14,1.40039099965866
24,15,1.48143626375036
25,8,1.54826734921206
25,9,1.89846478563331
25,10,1.77714500141111
25,11,1.7654465712553
25,12,1.61639476169072
25,13,1.20786179984869
25,14,1.78340367875341
25,15,1.54339771903671
26,8,1.69007629993893
26,9,1.20733810609916
26,10,1.30750613695722
26,11,1.38652074870402
26,12,1.76838566204657
26,13,1.52199617609326
26,14,1.29721864212262
26,15,1.96380588156594
27,8,1.64358033185409
27,9,1.59863853522959
27,10,1.49655806784421
27,11,1.76891376180935
27,12,1.84653509397026
27,13,1.69140198324984
27,14,1.92139116842829
27,15,1.68802235128796
28,8,1.54562226183118
28,9,1.75460923231275
28,10,1.91811853672952
28,11,2.02791366034036
28,12,1.56748120033807
28,13,1.33406579298213
28,14,1.48014046869104
28,15,1.64171256901136
29,8,2.03955109655638
29,9,1.8050429932991
29,10,1.54652840310692
29,11,1.71560069491181
29,12,1.61089840176761
29,13,1.99607684583433
29,14,1.59058588528533
29,15,1.5047185107485
30,8,1.51983497611216
30,9,1.64658037636242
30,10,1.94569406633886
30,11,1.84578937333461
30,12,2.10378211610082
30,13,1.690260022557
30,14,1.30848505298826
30,15,1.64768651336391
